HI_2500_2999_Tot,HI_600_799_Tot,HI_4000_more_Tot,Negative_Nil_income_Tot,HI_3500_3999_Tot,HI_1500_1999_Tot,Tot_Tot,HI_1_199_Tot,HI_400_599_Tot,HI_800_999_Tot,HI_300_399_Tot,HI_2000_2499_Tot,HI_200_299_Tot,HI_3000_3499_Tot,HI_1250_1499_Tot,HI_1000_1249_Tot,area_code
4613,4488,1460,589,1232,7706,60967,672,4391,4412,2899,6201,1348,2906,4693,5084,37010
2077,4593,517,589,487,4671,44653,824,5013,3762,4446,3386,1938,1134,3247,3860,45890
244,477,47,43,55,540,5031,73,539,428,412,362,227,146,360,391,46090
241,610,70,53,42,541,5520,80,686,488,508,367,209,138,399,464,46300
235,754,55,57,39,630,7011,163,1069,597,878,423,350,128,460,492,46450
10,25,0,4,3,16,165,3,0,19,6,5,6,3,13,18,30900
39421,25483,19373,5327,11808,45125,380774,4639,26051,25293,18460,35862,7758,24808,26796,28076,31000
4,9,0,0,0,21,111,0,12,14,7,6,6,3,8,15,34570
7,8,0,3,0,13,120,0,11,16,10,12,0,3,11,6,31750
1197,4078,313,389,213,2965,34031,600,5263,3256,2982,1871,1233,680,2375,2734,31820
294,639,98,89,56,705,6490,99,710,597,520,491,173,175,500,553,31900
10,11,4,0,0,7,117,0,6,14,3,11,3,0,12,14,31950
3253,5252,872,734,714,6822,57127,839,5248,5042,3332,4790,1677,1904,4558,4886,32070
26,55,8,11,5,63,642,21,53,51,41,43,20,17,39,56,32250
388,1156,125,183,63,1039,10311,176,1247,941,756,631,336,209,859,840,32260
1508,408,563,116,352,997,8971,104,433,386,315,710,155,739,495,472,32270
245,383,52,67,48,391,4207,79,468,328,345,279,131,143,284,298,32310
5,55,0,0,3,19,247,3,29,31,20,7,21,3,14,37,32330
79,57,34,6,25,118,910,8,60,51,38,68,23,47,68,65,32450
45,144,17,26,3,139,1335,38,148,108,144,67,60,20,80,108,32500
7,8,0,3,0,19,106,0,10,6,8,3,4,0,5,6,32600
5637,8150,1556,885,1383,12147,91295,1023,7954,7345,4431,9217,1858,3168,7890,8494,34590
71,123,22,35,10,172,1527,25,142,107,90,152,38,54,125,136,34710
3846,2247,1461,373,1113,4433,38563,436,2686,2301,1852,3502,704,2539,2459,2450,34770
9,29,13,9,8,38,298,3,24,23,17,13,3,10,24,24,34800
13,35,4,6,3,29,381,12,35,38,27,22,11,6,31,31,36150
3954,3832,1463,458,1086,6140,49172,578,4379,3571,2954,4976,997,2456,3583,3576,36250
4,13,0,0,0,17,101,0,10,11,0,3,6,3,8,9,32750
6,31,3,0,3,17,184,7,21,18,9,3,17,3,18,24,35670
121,475,37,97,12,322,3986,99,573,385,368,180,126,70,296,269,35760
23,84,7,6,8,67,564,9,59,54,27,43,24,9,46,51,35780
9,32,4,0,4,22,215,3,23,20,0,21,9,4,24,34,32770
16,40,8,13,0,21,344,13,46,21,33,18,10,3,27,20,33100
34,73,11,22,6,59,666,15,58,55,61,42,16,14,52,46,33200
1061,4676,237,427,182,2964,36749,687,6037,3807,3525,1827,1318,529,2305,2874,33220
2474,1070,894,229,627,2342,19406,223,1406,1012,891,1715,365,1512,1193,1085,33360
11721,16732,4050,2957,2743,21391,181619,2683,17461,15987,10102,15363,4558,6823,14580,15511,33430
3,11,0,0,0,4,68,0,7,11,7,3,3,0,6,10,34830
274,353,99,95,61,506,4447,80,359,355,238,380,131,183,329,318,34860
9436,11683,2775,1122,2295,16533,132605,1498,13024,10600,7456,12740,2805,5658,10448,11042,35010
11,37,3,0,0,29,245,6,23,25,16,20,10,6,17,26,35250
938,305,480,71,301,766,6403,53,281,289,230,535,87,618,324,333,35300
71,165,29,24,8,177,1656,24,161,130,154,121,48,38,105,138,35600
20,44,0,0,4,51,384,4,26,31,11,34,18,17,36,73,35790
27,62,7,14,3,51,708,20,72,65,70,46,37,15,51,58,35800
10,26,0,0,0,23,160,4,14,18,0,9,6,3,15,28,36070
168,13,97,10,43,145,1001,6,14,32,3,111,5,119,53,48,37300
611,1020,203,180,111,1260,10950,181,1164,911,789,799,313,324,851,883,37310
780,956,166,152,133,1281,10848,162,1047,913,631,835,280,411,803,851,37340
1150,1821,373,255,286,2043,18710,349,2061,1614,1463,1539,569,741,1336,1495,40910
68,133,11,12,11,153,1272,25,132,122,83,91,31,35,105,105,41010
2385,4099,783,499,660,4403,42457,742,4677,3548,3852,3290,1563,1534,2956,3520,41060
155,380,31,30,30,357,3400,70,390,352,285,236,120,76,264,290,41140
58,193,10,31,3,135,1781,58,235,192,169,89,80,17,136,190,42750
795,533,324,680,178,844,8178,288,544,533,491,489,359,364,520,565,40070
1318,966,582,111,366,1658,13613,161,945,1018,555,1325,224,858,1012,1056,40120
341,1208,78,105,57,918,9505,182,1389,1035,803,501,284,164,687,820,40220
21,43,0,11,3,43,548,13,56,54,52,30,30,13,37,39,37400
26,61,4,10,3,49,709,24,74,54,118,20,37,12,42,57,41330
140,685,41,62,26,469,5354,99,935,520,597,222,221,79,357,405,41560
13,54,5,12,3,36,425,13,67,47,35,22,8,5,22,36,41750
0,41,0,0,0,17,223,4,37,27,16,11,15,3,18,23,37550
7,51,6,10,0,29,412,14,55,40,41,19,20,8,34,22,43080
6,19,3,9,0,13,176,6,21,22,15,11,3,3,10,15,54690
